title,subtitle,release_year,genre,duration,maturity_rating,IMDb_rating,rotten_tomatoes_rating,meta_critic_rating,indie_wire_rating,vudu_rating,letterboxd_rating,fandor_rating,film_affinity_rating,trakt_rating,apple_rating,class_movie_rating,ringos_rating,french_films_rating,original_film_rating,allmovie_rating,bluray_rating,movie_insider_rating,reelviews_rating,p_google_likes,box_office,release_date,directors,awards,film_series,producers,budget
"Oh Dad, Poor Dad, Mama's Hung You in the Closet and I'm ...",NA,NA,NA,NA,NA,5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Quine, Alexander Mackendrick",NA,NA,"Ray Stark, Stanley Rubin",NA
The Perils of Pauline,NA,NA,NA,NA,NA,5.8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,"Joshua Shelley, Herbert B. Leonard",NA,NA,Producer: Herbert B. Leonard,NA
Point Blank,NA,NA,NA,NA,NA,7.3,92,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,"August 30, 1967 (USA)",Director: John Boorman,NA,NA,NA,NA
The President's Analyst,NA,NA,NA,NA,NA,6.9,77,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,"December 21, 1967 (USA)",Director: Theodore J. Flicker,NA,NA,NA,NA
The Producers,PG 1967 ‧ Musical/Comedy ‧ 1h 30m,1967,Musical/Comedy,1h 30m,PG,7.6,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,"November 22, 1967 (USA)",Director: Mel Brooks,NA,NA,Producer: Sidney Glazier,NA
Red Tomahawk,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Robert G. Springsteen,NA,NA,Producer: A. C. Lyles,NA
Reflections in a Golden Eye,NA,NA,NA,NA,NA,6.8,55,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,1.5 million USD (US/ Canada),"October 13, 1967 (USA)",Director: John Huston,NA,NA,NA,NA
The Reluctant Astronaut,NA,NA,NA,NA,NA,6.4,55,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,1.5 million USD (US/ Canada),NA,Director: Edward Montagne,NA,NA,Producer: Edward Montagne,NA
Return of the Gunfighter,NA,NA,NA,NA,NA,6.4,40,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,Director: James Neilson,NA,NA,NA,NA
Ride to Hangman's Tree,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Alan Rafkin,NA,NA,NA,NA
Riot on Sunset Strip,NA,NA,NA,NA,NA,5.1,57,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1.2 million USD (US/ Canada),March 1967 (USA),Director: Arthur Dreifuss,NA,NA,NA,"250,000 USD"
Rosie!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,Director: David Lowell Rich,NA,NA,Producer: Ross Hunter,NA
Rough Night in Jericho,NA,NA,NA,NA,NA,6.4,56,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1.75 million USD (US/ Canada),NA,Director: Arnold Laven,NA,NA,NA,NA
Run Like a Thief,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Bernard Glasser,NA,NA,"Harry Spalding, Bernard Glasser, Tíbor Reves",NA
The Shooting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,"February 24, 1971 (USA)",Director: Monte Hellman,NA,NA,"Jack Nicholson, Monte Hellman","100,000 USD"
The Spirit is Willing,NA,NA,NA,NA,NA,5.9,75,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,Director: William Castle,NA,NA,Producer: William Castle,NA
The St. Valentine's Day Massacre,NA,NA,NA,NA,NA,6.7,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,"June 30, 1967 (USA)",Director: Roger Corman,NA,NA,NA,NA
The Taming of the Shrew,NA,NA,NA,NA,NA,7.1,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,"March 8, 1967 (USA)",Director: Franco Zeffirelli,"Nastro d'Argento for Best Costume Design,",NA,NA,NA
Thoroughly Modern Millie,G 1967 ‧ Musical/Comedy ‧ 2h 33m,1967,Musical/Comedy,2h 33m,G,6.9,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"March 21, 1967 (New York)",Director: George Roy Hill,"Academy Award for Best Music (Original Score),",NA,NA,NA
Three Bites of the Apple,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,"May 24, 1967 (New York)",Director: Alvin Ganzer,NA,NA,Producer: Alvin Ganzer,NA
Thunder Alley,NA,NA,NA,NA,NA,5.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1.25 million USD (US/ Canada),"March 22, 1967 (USA)",Director: Richard Rush,NA,NA,NA,NA
The Tiger Makes Out,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,Director: Arthur Hiller,NA,NA,NA,NA
A Time for Killing,NA,NA,NA,NA,NA,5.3,40,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,Director: Phil Karlson,NA,NA,Producer: Harry Joe Brown,NA
Titicut Follies,NA,NA,NA,NA,NA,7.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,"October 3, 1967 (USA)",Director: Frederick Wiseman,NA,NA,Producer: Frederick Wiseman,NA
Tobruk,NA,NA,NA,NA,NA,6.4,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,Director: Arthur Hiller,NA,NA,NA,NA
Tony Rome,NA,NA,NA,NA,NA,6.6,63,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,4 million USD (US/ Canada),"November 10, 1967 (USA)",Director: Gordon Douglas,NA,Tony Rome,NA,NA
Track of Thunder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,500 USD (US)",NA,Director: Joseph Kane,NA,NA,Producer: E. Stanley Williamson,NA
The Trip,NA,NA,NA,NA,NA,6.1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,"August 23, 1967 (USA)",Director: Roger Corman,NA,NA,NA,NA
Up the Down Staircase,NA,NA,NA,NA,NA,7.4,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,Director: Robert Mulligan,NA,NA,NA,NA
Valley of the Dolls,PG-13 1967 ‧ Drama/Music ‧ 2h 3m,1967,Drama/Music,2h 3m,PG-13,6.1,35,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,"December 15, 1967 (New York)",Director: Mark Robson,NA,NA,NA,NA
The Venetian Affair,NA,NA,NA,NA,NA,5.4,31,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Jerry Thorpe,NA,NA,"Jerry Thorpe, E. Jack Neuman",NA
Wait Until Dark,NA,NA,NA,NA,NA,7.8,96,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"October 26, 1967 (USA)",Director: Terence Young,NA,NA,NA,NA
The War Wagon,NA,NA,NA,NA,NA,6.9,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,9.528 million USD,NA,Director: Burt Kennedy,NA,NA,NA,NA
Warning Shot,NA,NA,NA,NA,NA,6.8,22,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,Director: Buzz Kulik,NA,NA,"Buzz Kulik, Bob Banner",NA
Waterhole No. 3,NA,NA,NA,NA,NA,6.3,59,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"October 10, 1967 (USA)",Director: William Graham,NA,NA,NA,NA
The Way West,NA,NA,NA,NA,NA,6.2,38,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,Director: Andrew V. McLaglen,NA,NA,Producer: Harold Hecht,NA
Welcome to Hard Times,NA,NA,NA,NA,NA,5.9,40,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,"May 1, 1967 (USA)",Director: Burt Kennedy,NA,NA,"Max E. Youngstein, David Karr",NA
Who's Minding the Mint?,NA,NA,NA,NA,NA,7,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,Director: Howard Morris,NA,NA,Producer: Norman Maurer,NA
Who's That Knocking at My Door,R 1967 ‧ Drama/Drama ‧ 1h 30m,1967,Drama/Drama,1h 30m,R,6.6,70,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,Director: Martin Scorsese,NA,NA,NA,"75,000 USD"
Winchester '73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,Director: Herschel Daugherty,NA,NA,NA,NA
Woman Times Seven,NA,NA,NA,NA,NA,6,35,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,"June 27, 1967 (USA)",Director: Vittorio De Sica,NA,NA,NA,NA
You Only Live Twice,PG 1967 ‧ Action/Spy ‧ 1h 57m,1967,Action/Spy,1h 57m,PG,6.9,73,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,"June 13, 1967 (USA)",Director: Lewis Gilbert,NA,NA,NA,9.5 million USD
The Young Warriors,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: John Peyser,NA,NA,Producer: Gordon Kay,NA
100 Rifles,PG 1969 ‧ Western/Drama ‧ 1h 50m,1969,Western/Drama,1h 50m,PG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,Director: Tom Gries,NA,NA,Producer: Marvin Schwartz,NA
2000 Years Later,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Bert Tenzer,NA,NA,Producer: Bert Tenzer,NA
Alice's Restaurant,PG 1969 ‧ Drama/Comedy ‧ 1h 51m,1969,Drama/Comedy,1h 51m,PG,6.3,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,"August 20, 1969 (USA)",Director: Arthur Penn,NA,NA,"Hillard Elkins, Joseph Manduke",NA
The Littlest Angel,NA,NA,NA,NA,NA,6.3,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,"December 6, 1969 (USA)",Director: Joe Layton,NA,NA,NA,NA
Angel in My Pocket,G 1969 ‧ Comedy ‧ 1h 45m,1969,Comedy,1h 45m,G,6.9,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,Director: Alan Rafkin,NA,NA,Producer: Edward Montagne,NA
The Appointment,R 1969 ‧ Drama ‧ 1h 55m,1969,Drama,1h 55m,R,5.5,76,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,Director: Sidney Lumet,NA,NA,NA,NA
The April Fools,NA,NA,NA,NA,NA,6.2,65,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,4.5 million USD (US/ Canada rentals),"May 28, 1969 (USA)",Director: Stuart Rosenberg,NA,NA,NA,NA
The Arrangement,R 1969 ‧ Drama/Romance ‧ 2h 7m,1969,Drama/Romance,2h 7m,R,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,4 million USD (US/Canada rentals),"November 18, 1969 (USA)",Director: Elia Kazan,NA,NA,NA,NA
The Big Bounce,NA,NA,NA,NA,NA,5.4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Alex March,NA,NA,Producer: William Dozier,NA
The Big Cube,PG 1969 ‧ Drama/Melodrama ‧ 1h 38m,1969,Drama/Melodrama,1h 38m,PG,4.4,22,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,Director: Tito Davison,NA,NA,"Lindsley Parsons, Francisco Diez Barroso",NA
Blood of Dracula's Castle,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,Director: Al Adamson,NA,NA,Producer: Al Adamson,NA
Blue Movie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June 13, 1969 (New York)",Director: Andy Warhol,NA,NA,Producer: Andy Warhol,NA
Bob & Carol & Ted & Alice,R 1969 ‧ Comedy/Drama ‧ 1h 45m,1969,Comedy/Drama,1h 45m,R,6.8,79,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,September 1969 (USA),Director: Paul Mazursky,"National Society of Film Critics Award for Best Screenplay,",NA,NA,NA
A Boy Named Charlie Brown,G 1969 ‧ Family/Musical ‧ 1h 26m,1969,Family/Musical,1h 26m,G,7.3,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,"December 4, 1969 (USA)",Director: Bill Melendez,NA,Peanuts,NA,NA
The Bridge at Remagen,NA,NA,NA,NA,NA,6.7,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,Director: John Guillermin,NA,NA,NA,NA
The Bushbaby,G 1969 ‧ Drama/Historical drama ‧ 1h 40m,1969,Drama/Historical drama,1h 40m,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,November 1970 (USA),Director: John Trent,NA,NA,"John Trent, Robert Maxwell",NA
Butch Cassidy and the Sundance Kid,PG 1969 ‧ Western/Drama ‧ 1h 53m,1969,Western/Drama,1h 53m,PG,8,90,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"September 23, 1969 (USA)",Director: George Roy Hill,"Academy Award for Best Music (Original Score),",NA,NA,NA
Cactus Flower,PG 1969 ‧ Comedy/Romance ‧ 1h 43m,1969,Comedy/Romance,1h 43m,PG,7.2,88,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,"December 16, 1969 (USA)",Director: Gene Saks,"Academy Award for Best Actress in a Supporting Role,",NA,NA,NA
The Candy Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Herbert J. Leder,NA,NA,Producer: Herbert J. Leder,NA
Castle Keep,R 1969 ‧ War/Drama ‧ 1h 47m,1969,War/Drama,1h 47m,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,"July 23, 1969 (New York)",Director: Sydney Pollack,NA,NA,NA,NA
The Chairman,NA,NA,NA,NA,NA,5.6,29,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,Director: J. Lee Thompson,NA,NA,"Mort Abrahams, Arthur P. Jacobs",NA
Change of Habit,G 1969 ‧ Drama/Musical ‧ 1h 33m,1969,Drama/Musical,1h 33m,G,6.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,"November 10, 1969 (USA)",Director: William Graham,NA,NA,Producer: Joe Connelly,NA
Change of Mind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Robert Stevens,NAACP Image Award for Outstanding Actor in a Motion Picture,NA,Producer: Dick Wesson,NA
Changes,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,75,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Hall Bartlett,NA,NA,Producer: Hall Bartlett,NA
Charro!,G 1969 ‧ Western/Drama ‧ 1h 38m,1969,Western/Drama,1h 38m,G,5.8,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,1.5 million USD (US/ Canada rentals),NA,Director: Charles Marquis Warren,NA,NA,NA,NA
Chastity,PG 1969 ‧ Drama/Romance ‧ 1h 23m,1969,Drama/Romance,1h 23m,PG,5.1,41,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,Director: Alessio de Paolo,NA,NA,Producer: Sonny Bono,NA
Che!,PG 1969 ‧ Drama ‧ 1h 36m,1969,Drama,1h 36m,PG,4.9,19,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,2.5 million USD (US/ Canada),NA,Director: Richard Fleischer,NA,NA,NA,2.8 million USD
Childish Things,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Derek, David Nelson",NA,NA,Producer: Don Murray,NA
The Comic,PG 1969 ‧ Comedy/Drama ‧ 1h 34m,1969,Comedy/Drama,1h 34m,PG,6.7,67,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,Director: Carl Reiner,NA,NA,"Carl Reiner, Aaron Ruben",NA
The Computer Wore Tennis Shoes,G 1969 ‧ Comedy/Family ‧ 1h 31m,1969,Comedy/Family,1h 31m,G,6.1,50,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,5.5 million USD (US/ Canada rentals),NA,Director: Robert Butler,NA,The Computer Wore Tennis Shoes,NA,NA
The Cycle Savages,R 1969 ‧ Outlaw biker/Drama ‧ 1h 22m,1969,Outlaw biker/Drama,1h 22m,R,4.8,26,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Bill Brame,NA,NA,"Casey Kasem, Maurice Smith",NA
Daddy's Gone A-Hunting,PG 1969 ‧ Thriller ‧ 1h 48m,1969,Thriller,1h 48m,PG,6.3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9 million USD (US/Canada rentals),NA,Director: Mark Robson,NA,NA,Producer: Mark Robson,NA
Death of a Gunfighter,PG 1969 ‧ Western/Revisionist Western ‧ 1h 40m,1969,Western/Revisionist Western,1h 40m,PG,6.3,83,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,"May 8, 1969 (Chicago)","Robert Totten, Don Siegel",NA,NA,Producer: Richard E. Lyons,NA
De Sade,R 1969 ‧ Drama/Historical drama ‧ 1h 53m,1969,Drama/Historical drama,1h 53m,R,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,"August 27, 1969 (USA)","Cy Endfield, Gordon Hessler, Roger Corman",NA,NA,"James H. Nicholson, Samuel Z. Arkoff, Artur Brauner",NA
The Desperados,PG 1969 ‧ Western/Revisionist Western ‧ 1h 31m,1969,Western/Revisionist Western,1h 31m,PG,4.8,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,Director: Henry Levin,NA,NA,Producer: Irving Allen,NA
The Devil's 8,PG-13 1969 ‧ Thriller/Drama ‧ 1h 38m,1969,Thriller/Drama,1h 38m,PG-13,5.3,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,Director: Burt Topper,NA,NA,Producer: Burt Topper,NA
Don't Drink the Water,G 1969 ‧ Comedy/Screwball comedy ‧ 1h 40m,1969,Comedy/Screwball comedy,1h 40m,G,5.7,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Howard Morris,NA,NA,"Charles H. Joffe, Jack Rollins, Joseph E. Levine",NA
Downhill Racer,PG 1969 ‧ Sport/Drama ‧ 1h 41m,1969,Sport/Drama,1h 41m,PG,6.4,85,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,"November 6, 1969 (USA)",Director: Michael Ritchie,BAFTA Award for Best Actor in a Leading Role,NA,NA,NA
A Dream of Kings,R 1969 ‧ Melodrama/Drama ‧ 1h 47m,1969,Melodrama/Drama,1h 47m,R,6.3,57,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,Director: Daniel Mann,NA,NA,Producer: Jules Schermer,NA
Easy Rider,R 1969 ‧ Drama/Road ‧ 1h 36m,1969,Drama/Road,1h 36m,R,7.3,83,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,"July 14, 1969 (USA)",Director: Dennis Hopper,"National Society of Film Critics Award for Best Supporting Actor,",NA,NA,NA
The Extraordinary Seaman,G 1969 ‧ War/Comedy ‧ 1h 20m,1969,War/Comedy,1h 20m,G,3.3,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: John Frankenheimer,NA,NA,Producer: Edward Lewis,NA
Eye of the Cat,NA,NA,NA,NA,NA,6,19,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1.2 million USD (US/ Canada rentals),"June 18, 1969 (USA)",Director: David Lowell Rich,NA,NA,"Leslie Stevens, Bernard Schwartz, Philip Hazelton",NA
Fear No Evil,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,Director: Paul Wendkos,NA,NA,Producer: Richard Alan Simmons,NA
The Female Bunch,R 1969 ‧ Pornographic/Indie film ‧ 1h 26m,1969,Pornographic/Indie film,1h 26m,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Al Adamson,NA,NA,NA,NA
The First Time,PG-13 1969 ‧ Comedy/Coming-of-age story ‧ 1h 30m,1969,Comedy/Coming-of-age story,1h 30m,PG-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June 11, 1969 (USA)",Director: James Neilson,NA,NA,"Roger Smith, Allan Carr",NA
Flareup,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"November 10, 1969 (New York)",Director: James Neilson,NA,NA,Producer: Leon Fromkess,NA
"Gaily, Gaily",R 1969 ‧ Comedy ‧ 1h 47m,1969,Comedy,1h 47m,R,5.3,50,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 million USD (domestic rentals),"December 16, 1969 (USA)",Director: Norman Jewison,NA,NA,NA,NA
Generation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: George Schaefer,NA,NA,Producer: Frederick Brisson,NA
Gidget Grows Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,Director: James Sheldon,NA,Gidget,NA,NA
The Girl Who Knew Too Much,R 1969 ‧ Action/Crime ‧ 1h 36m,1969,Action/Crime,1h 36m,R,5.8,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Francis D. Lyon,NA,NA,Producer: Earle Lyon,NA
The Good Guys and the Bad Guys,PG 1969 ‧ Western/Drama ‧ 1h 31m,1969,Western/Drama,1h 31m,PG,6.2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,Director: Burt Kennedy,NA,NA,"Ronald M. Cohen, Dennis Shryack",NA
"Goodbye, Mr. Chips",G 1969 ‧ Musical/Romance ‧ 2h 35m,1969,Musical/Romance,2h 35m,G,6.9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,"November 5, 1969 (New York)",Director: Herbert Ross,"David di Donatello for Best Foreign Actor,",NA,NA,NA
The Grasshopper,R 1970 ‧ Drama/Romance ‧ 1h 38m,1970,Drama/Romance,1h 38m,R,5.8,50,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 million USD (US/ Canada rentals),"May 27, 1970 (USA)",Director: Jerry Paris,NA,NA,"Jerry Belson, Garry Marshall",NA
The Great Bank Robbery,PG 1969 ‧ Western/Comedy ‧ 1h 38m,1969,Western/Comedy,1h 38m,PG,5.7,20,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5 million USD (US/ Canada rentals),NA,Director: Hy Averback,NA,NA,NA,NA
Guns in the Heather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Robert Butler,NA,NA,Producer: Ron W. Miller,NA
